time,34420a_volt,TMP117_room_temp
1733051585.1164734,+5.41500000E-08,17.94
1733051590.4017045,+5.59300000E-08,17.95
1733051595.6866565,+5.35400000E-08,17.96
1733051600.9715965,+5.25400000E-08,17.98
1733051606.2569146,+5.51300000E-08,17.98
1733051611.542277,+5.52900000E-08,17.99
1733051616.8274212,+5.67600000E-08,18.0
1733051622.1124914,+5.41000000E-08,18.02
1733051627.39743,+5.37800000E-08,18.02
1733051632.682499,+5.42000000E-08,18.04
1733051637.9678147,+5.44200000E-08,18.04
1733051643.2526345,+5.29400000E-08,18.05
1733051648.5376987,+5.62500000E-08,18.06
1733051653.8227673,+5.64800000E-08,18.06
1733051659.1079621,+5.46300000E-08,18.08
1733051664.3925235,+5.56700000E-08,18.09
1733051669.6774967,+5.47200000E-08,18.09
1733051674.9624155,+5.20300000E-08,18.1
1733051680.2471032,+5.33100000E-08,18.12
1733051685.5319521,+5.36000000E-08,18.13
1733051690.8172345,+5.27700000E-08,18.13
1733051696.1029272,+5.25100000E-08,18.13
1733051701.3885067,+5.40300000E-08,18.14
1733051706.6740687,+5.48200000E-08,18.15
1733051711.959147,+5.26400000E-08,18.15
1733051717.2445583,+5.36500000E-08,18.16
1733051722.5300338,+5.31100000E-08,18.16
1733051727.814843,+5.39500000E-08,18.16
1733051733.1001663,+5.49200000E-08,18.16
1733051738.3853521,+5.29900000E-08,18.21
1733051743.6712947,+5.24400000E-08,18.22
1733051748.9572399,+5.23100000E-08,18.22
1733051754.2433143,+5.31100000E-08,18.22
1733051759.528751,+5.15800000E-08,18.23
1733051764.814446,+5.53800000E-08,18.24
1733051770.1000261,+5.20300000E-08,18.24
1733051775.3862402,+5.66100000E-08,18.25
1733051780.6723812,+5.41100000E-08,18.25
1733051785.9589732,+5.59800000E-08,18.26
1733051791.245429,+5.43000000E-08,18.26
1733051796.532113,+5.16900000E-08,18.27
1733051801.818559,+5.39000000E-08,18.27
1733051807.1048784,+5.66300000E-08,18.27
1733051812.3913004,+5.38700000E-08,18.28
1733051817.6777484,+5.36200000E-08,18.28
1733051822.9647377,+5.28500000E-08,18.29
1733051828.2516856,+5.40800000E-08,18.29
1733051833.5382493,+5.31700000E-08,18.3
1733051838.8246942,+5.25000000E-08,18.3
1733051844.111261,+5.26000000E-08,18.31
1733051849.3979607,+5.41400000E-08,18.32
1733051854.6846545,+5.21700000E-08,18.33
1733051859.9712245,+5.42700000E-08,18.34
1733051865.2576613,+5.43100000E-08,18.34
1733051870.5441031,+5.26500000E-08,18.35
1733051875.8308015,+5.47900000E-08,18.36
1733051881.1173706,+5.56000000E-08,18.36
1733051886.4039457,+5.00300000E-08,18.36
1733051891.6907701,+5.46600000E-08,18.36
1733051896.977348,+5.36400000E-08,18.36
1733051902.264037,+5.23900000E-08,18.41
1733051907.550357,+5.61400000E-08,18.41
1733051912.837182,+5.44400000E-08,18.41
1733051918.1239216,+5.25000000E-08,18.43
1733051923.4106202,+5.43900000E-08,18.44
1733051928.696906,+5.23700000E-08,18.44
1733051933.9833457,+5.38200000E-08,18.45
1733051939.2698665,+5.57700000E-08,18.46
1733051944.55599,+5.59200000E-08,18.46
1733051949.8424811,+5.38500000E-08,18.46
1733051955.1286333,+5.41700000E-08,18.47
1733051960.4153273,+5.31000000E-08,18.48
1733051965.7017922,+5.63600000E-08,18.48
1733051970.9884806,+5.56200000E-08,18.48
1733051976.2747993,+5.49800000E-08,18.48
1733051981.561245,+5.35100000E-08,18.49
1733051986.8478243,+5.37900000E-08,18.49
1733051992.13444,+5.52900000E-08,18.5
1733051997.4212177,+5.34800000E-08,18.51
1733052002.7077935,+5.14500000E-08,18.52
1733052007.9944882,+5.43100000E-08,18.52
1733052013.2813268,+5.50300000E-08,18.52
1733052018.5676365,+5.23500000E-08,18.52
1733052023.8542216,+5.43500000E-08,18.52
1733052029.1409087,+5.26800000E-08,18.53
1733052034.4269798,+5.31400000E-08,18.53
1733052039.7128057,+5.33900000E-08,18.53
1733052044.9980288,+5.01800000E-08,18.53
1733052050.2830837,+5.17000000E-08,18.54
1733052055.5679014,+5.14600000E-08,18.54
1733052060.8527212,+5.48100000E-08,18.54
1733052066.1379502,+5.42900000E-08,18.58
1733052071.4224977,+5.37000000E-08,18.58
1733052076.7073216,+5.05000000E-08,18.59
1733052081.992272,+5.41600000E-08,18.58
1733052087.2772198,+5.15100000E-08,18.59
1733052092.5620205,+5.44000000E-08,18.59
1733052097.8469932,+5.44400000E-08,18.59
1733052103.131565,+5.21200000E-08,18.6
1733052108.4165282,+5.52500000E-08,18.6
1733052113.7013414,+5.33500000E-08,18.6
1733052118.9861112,+5.38100000E-08,18.61
1733052124.2710013,+5.52500000E-08,18.62
1733052129.5555613,+5.40500000E-08,18.62
1733052134.8403943,+5.46500000E-08,18.62
1733052140.1250336,+5.40200000E-08,18.63
1733052145.4097977,+5.28600000E-08,18.63
1733052150.695109,+5.48600000E-08,18.63
1733052155.9808097,+5.61700000E-08,18.63
1733052161.2667594,+5.66600000E-08,18.64
1733052166.5523462,+5.22200000E-08,18.65
1733052171.837535,+5.42400000E-08,18.65
1733052177.1231241,+5.17700000E-08,18.65
1733052182.409202,+5.35500000E-08,18.66
1733052187.6942716,+5.55100000E-08,18.66
1733052192.978974,+5.29800000E-08,18.66
1733052198.2638001,+5.63000000E-08,18.67
1733052203.548498,+5.40800000E-08,18.67
1733052208.8331969,+5.15900000E-08,18.67
1733052214.1180227,+5.09300000E-08,18.67
1733052219.402851,+5.50000000E-08,18.67
1733052224.6876705,+5.39400000E-08,18.67
1733052229.9728725,+5.35600000E-08,18.7
1733052235.2578208,+5.32000000E-08,18.7
1733052240.5427678,+5.52300000E-08,18.7
1733052245.8277233,+5.21700000E-08,18.71
1733052251.113176,+5.65200000E-08,18.71
1733052256.3980162,+5.34900000E-08,18.72
1733052261.6829524,+5.19400000E-08,18.72
1733052266.967774,+5.23600000E-08,18.73
1733052272.2529736,+5.22700000E-08,18.73
1733052277.5385914,+5.60500000E-08,18.73
1733052282.823627,+5.26100000E-08,18.75
1733052288.1088226,+5.28500000E-08,18.75
1733052293.393644,+5.38900000E-08,18.75
1733052298.6786969,+5.59700000E-08,18.76
1733052303.9636755,+5.33800000E-08,18.76
1733052309.2486243,+5.11800000E-08,18.76
1733052314.5339108,+5.21700000E-08,18.77
1733052319.8189077,+5.43600000E-08,18.77
1733052325.10398,+5.10300000E-08,18.77
1733052330.38905,+5.64100000E-08,18.77
1733052335.6744206,+5.34400000E-08,18.78
1733052340.959583,+5.54900000E-08,18.78
1733052346.2446587,+5.28000000E-08,18.78
1733052351.52987,+5.05300000E-08,18.79
1733052356.8150575,+5.45800000E-08,18.8
1733052362.1000147,+5.51700000E-08,18.8
1733052367.3850155,+5.33100000E-08,18.8
1733052372.6703508,+5.21900000E-08,18.8
1733052377.9551215,+5.33200000E-08,18.8
1733052383.2403224,+5.35800000E-08,18.8
1733052388.5253947,+5.39500000E-08,18.8
1733052393.810722,+5.57700000E-08,18.84
1733052399.095803,+5.41300000E-08,18.84
1733052404.3811314,+5.35500000E-08,18.84
1733052409.6662023,+5.72700000E-08,18.84
1733052414.951833,+5.16700000E-08,18.85
1733052420.237232,+5.30900000E-08,18.85
1733052425.5226812,+5.17600000E-08,18.85
1733052430.8077598,+5.12000000E-08,18.86
1733052436.0933363,+5.46900000E-08,18.86
1733052441.3785357,+5.63500000E-08,18.87
1733052446.66374,+5.26500000E-08,18.87
1733052451.949189,+5.40700000E-08,18.88
1733052457.2343895,+5.33900000E-08,18.88
1733052462.5196702,+5.57000000E-08,18.88
1733052467.805172,+5.34800000E-08,18.88
1733052473.0906322,+5.46600000E-08,18.88
1733052478.3759573,+5.31900000E-08,18.88
1733052483.6612864,+5.39300000E-08,18.88
1733052488.9468603,+5.14300000E-08,18.88
1733052494.232194,+5.47400000E-08,18.88
1733052499.5176508,+5.46100000E-08,18.89
1733052504.8025901,+5.46400000E-08,18.89
1733052510.0877926,+5.55600000E-08,18.89
1733052515.3731208,+5.35600000E-08,18.89
1733052520.6585767,+5.32200000E-08,18.89
1733052525.9441547,+5.46400000E-08,18.89
1733052531.2296772,+5.29700000E-08,18.9
1733052536.5150523,+5.34800000E-08,18.9
1733052541.800385,+5.24400000E-08,18.9
1733052547.086134,+5.61900000E-08,18.9
1733052552.3715405,+5.55700000E-08,18.9
1733052557.656867,+5.22900000E-08,18.92
1733052562.9424443,+5.63200000E-08,18.92
1733052568.2280207,+5.40500000E-08,18.92
1733052573.5136561,+5.37300000E-08,18.92
1733052578.7995543,+5.53900000E-08,18.92
1733052584.0846994,+5.30100000E-08,18.93
1733052589.3701985,+5.23700000E-08,18.94
1733052594.6552844,+5.32700000E-08,18.94
1733052599.9408598,+5.44600000E-08,18.94
1733052605.2260628,+5.28000000E-08,18.95
1733052610.511275,+5.41400000E-08,18.95
1733052615.7963493,+5.51100000E-08,18.95
1733052621.0818,+5.16900000E-08,18.95
1733052626.3667502,+5.35800000E-08,18.95
1733052631.6518307,+5.23000000E-08,18.95
1733052636.9372823,+5.37100000E-08,18.95
1733052642.2226105,+5.23000000E-08,18.96
1733052647.5078192,+5.54100000E-08,18.95
1733052652.7928944,+5.15400000E-08,18.96
1733052658.0782235,+5.29600000E-08,18.98
1733052663.3633068,+5.30700000E-08,18.97
1733052668.6487625,+5.49900000E-08,18.97
1733052673.9337242,+5.27100000E-08,18.98
1733052679.218917,+5.47900000E-08,18.98
1733052684.5042458,+5.29400000E-08,18.98
1733052689.7895918,+5.07700000E-08,18.98
1733052695.0745327,+5.12900000E-08,18.98
1733052700.3598588,+5.54700000E-08,18.98
1733052705.6451797,+5.37800000E-08,18.98
1733052710.9305162,+5.24600000E-08,18.98
1733052716.2159574,+5.55900000E-08,18.98
1733052721.5012949,+5.69200000E-08,19.0
1733052726.7864969,+5.20400000E-08,19.0
1733052732.0722027,+5.05300000E-08,18.99
1733052737.357639,+5.34000000E-08,19.0
1733052742.6431077,+5.41600000E-08,19.0
1733052747.928305,+5.16000000E-08,19.0
1733052753.2138963,+5.46300000E-08,19.0
1733052758.4992163,+5.51400000E-08,19.0
1733052763.7849216,+5.33800000E-08,19.0
1733052769.0705009,+5.53100000E-08,19.01
1733052774.3557043,+5.38800000E-08,19.01
1733052779.6412776,+5.13500000E-08,19.02
1733052784.927113,+5.61500000E-08,19.02
1733052790.2123222,+5.34900000E-08,19.02
1733052795.4977875,+5.26200000E-08,19.02
1733052800.7831,+5.16800000E-08,19.02
1733052806.068405,+5.30300000E-08,19.02
1733052811.3539612,+5.36000000E-08,19.02
1733052816.639461,+5.61300000E-08,19.02
1733052821.92464,+5.24500000E-08,19.03
1733052827.2099898,+5.44000000E-08,19.03
1733052832.495319,+5.26500000E-08,19.03
1733052837.7805247,+5.61300000E-08,19.03
1733052843.0658703,+5.30500000E-08,19.04
1733052848.3510604,+5.42700000E-08,19.03
1733052853.636267,+5.22100000E-08,19.04
1733052858.9217417,+5.04900000E-08,19.04
1733052864.20705,+5.29300000E-08,19.05
1733052869.4921315,+5.44000000E-08,19.05
1733052874.7772105,+5.39400000E-08,19.05
1733052880.0625436,+5.01700000E-08,19.05
1733052885.3478663,+4.99300000E-08,19.05
1733052890.632943,+5.30200000E-08,19.05
1733052895.918272,+5.18700000E-08,19.05
1733052901.203729,+5.31800000E-08,19.05
1733052906.4893062,+5.38900000E-08,19.05
1733052911.7747605,+5.36100000E-08,19.05
1733052917.059964,+5.44500000E-08,19.05
1733052922.3455467,+5.33700000E-08,19.05
1733052927.630878,+5.56200000E-08,19.05
1733052932.9162052,+5.38000000E-08,19.05
1733052938.2016623,+5.16000000E-08,19.05
1733052943.4869883,+5.08300000E-08,19.05
1733052948.7725673,+5.14200000E-08,19.05
1733052954.0580697,+5.25400000E-08,19.06
1733052959.3434775,+4.94300000E-08,19.06
1733052964.628932,+5.24400000E-08,19.06
1733052969.9143865,+5.08500000E-08,19.06
1733052975.2000968,+4.65700000E-08,19.06
1733052980.485846,+5.24800000E-08,19.07
1733052985.771499,+5.33000000E-08,19.08
1733052991.0573237,+5.44500000E-08,19.07
1733052996.3428948,+5.31100000E-08,19.08
1733053001.628592,+5.10700000E-08,19.08
1733053006.9144168,+5.36400000E-08,19.08
1733053012.2004945,+5.19300000E-08,19.08
1733053017.4861887,+5.53800000E-08,19.08
1733053022.7715175,+5.36900000E-08,19.08
1733053028.0564659,+5.22500000E-08,19.09
1733053033.3416328,+5.60700000E-08,19.08
1733053038.626612,+5.34900000E-08,19.08
1733053043.911682,+5.33700000E-08,19.08
1733053049.1967583,+5.32700000E-08,19.09
1733053054.4818444,+5.21000000E-08,19.09
1733053059.767416,+5.19100000E-08,19.09
1733053065.0529897,+5.29500000E-08,19.09
1733053070.338436,+5.44400000E-08,19.09
1733053075.6235056,+5.24500000E-08,19.09
1733053080.9089508,+5.26700000E-08,19.1
1733053086.1944067,+5.32900000E-08,19.09
1733053091.4798548,+5.38200000E-08,19.1
1733053096.7655551,+5.17200000E-08,19.1
1733053102.0507524,+5.27300000E-08,19.1
1733053107.3358269,+5.41100000E-08,19.1
1733053112.621087,+5.09000000E-08,19.11
1733053117.906347,+5.29900000E-08,19.11
1733053123.1915517,+5.28500000E-08,19.11
1733053128.4768736,+5.56000000E-08,19.11
1733053133.762329,+5.70200000E-08,19.11
1733053139.0477753,+5.33400000E-08,19.11
1733053144.333098,+5.45200000E-08,19.11
1733053149.6182988,+5.32200000E-08,19.11
1733053154.9038732,+5.50800000E-08,19.12
1733053160.1894727,+5.18900000E-08,19.12
1733053165.4750242,+5.29800000E-08,19.11
1733053170.7606,+5.50300000E-08,19.11
1733053176.0460422,+5.27100000E-08,19.11
1733053181.331497,+5.51600000E-08,19.12
1733053186.6169477,+5.57300000E-08,19.11
1733053191.9024184,+5.57600000E-08,19.11
1733053197.1879752,+5.20100000E-08,19.12
1733053202.4734302,+5.10900000E-08,19.12
1733053207.7592506,+5.22300000E-08,19.12
1733053213.0450776,+4.92300000E-08,19.12
1733053218.3309033,+5.08100000E-08,19.12
1733053223.6164825,+5.26700000E-08,19.13
1733053228.9019265,+5.27700000E-08,19.12
1733053234.1870043,+5.18400000E-08,19.12
1733053239.4725804,+5.18400000E-08,19.13
1733053244.7577991,+5.09400000E-08,19.12
1733053250.0432336,+5.31300000E-08,19.12
1733053255.3288064,+5.15500000E-08,19.13
1733053260.6142578,+5.48200000E-08,19.13
1733053265.8998322,+5.30500000E-08,19.13
1733053271.185416,+5.66500000E-08,19.13
1733053276.470737,+4.96700000E-08,19.13
1733053281.7563107,+5.35300000E-08,19.13
1733053287.0419319,+5.23700000E-08,19.13
1733053292.3273387,+5.33000000E-08,19.13
1733053297.61304,+5.41000000E-08,19.13
1733053302.8986154,+5.37100000E-08,19.13
1733053308.184443,+5.39500000E-08,19.13
1733053313.4700665,+5.35500000E-08,19.13
1733053318.7555988,+5.28500000E-08,19.13
1733053324.0411737,+5.36300000E-08,19.13
1733053329.326878,+5.25600000E-08,19.14
1733053334.6125822,+5.33100000E-08,19.14
1733053339.898158,+5.53100000E-08,19.14
1733053345.1839583,+4.92500000E-08,19.14
1733053350.4698188,+5.17600000E-08,19.14
1733053355.7554872,+5.33700000E-08,19.15
1733053361.0409656,+5.67700000E-08,19.14
1733053366.3265154,+5.38000000E-08,19.14
1733053371.6121151,+5.50000000E-08,19.14
1733053376.897788,+5.30600000E-08,19.15
1733053382.1830142,+5.27200000E-08,19.15
1733053387.4685915,+5.48400000E-08,19.15
1733053392.7541702,+5.72000000E-08,19.16
1733053398.03937,+5.39400000E-08,19.15
1733053403.324933,+5.73300000E-08,19.16
1733053408.610402,+5.29800000E-08,19.16
1733053413.896084,+5.49600000E-08,19.15
1733053419.1818097,+5.30300000E-08,19.16
1733053424.4675102,+5.32400000E-08,19.16
1733053429.7529423,+5.39400000E-08,19.16
1733053435.0387988,+5.19600000E-08,19.16
1733053440.324367,+5.20200000E-08,19.16
1733053445.61032,+5.31100000E-08,19.16
1733053450.896032,+5.31200000E-08,19.16
1733053456.182008,+5.20300000E-08,19.17
1733053461.4675512,+5.21800000E-08,19.16
1733053466.753506,+5.28200000E-08,19.17
1733053472.0387037,+5.64400000E-08,19.17
1733053477.3245094,+5.44600000E-08,19.16
1733053482.6102438,+5.28900000E-08,19.17
1733053487.896574,+5.50000000E-08,19.17
1733053493.1821449,+5.75700000E-08,19.17
1733053498.4680932,+5.18000000E-08,19.17
1733053503.7540483,+5.48100000E-08,19.17
1733053509.04,+4.77800000E-08,19.18
1733053514.326013,+5.42900000E-08,19.18
1733053519.6121511,+5.61000000E-08,19.18
1733053524.897983,+5.34600000E-08,19.18
1733053530.1830704,+5.23400000E-08,19.18
1733053535.4682662,+5.35800000E-08,19.18
1733053540.7534888,+5.37900000E-08,19.18
1733053546.0387924,+5.34900000E-08,19.18
1733053551.3242505,+5.50100000E-08,19.18
1733053556.609578,+5.56200000E-08,19.19
1733053561.894905,+5.27100000E-08,19.19
1733053567.1799767,+5.32900000E-08,19.19
1733053572.465565,+5.53400000E-08,19.19
1733053577.75101,+5.46200000E-08,19.2
1733053583.036335,+5.02700000E-08,19.2
1733053588.321793,+5.42200000E-08,19.2
1733053593.6072457,+5.28100000E-08,19.2
1733053598.8926964,+5.40700000E-08,19.2
1733053604.1782787,+5.30200000E-08,19.2
1733053609.4634795,+5.53000000E-08,19.2
1733053614.7489345,+5.49800000E-08,19.2
1733053620.0341954,+5.30100000E-08,19.2
1733053625.3195894,+5.49400000E-08,19.2
1733053630.6050391,+5.54200000E-08,19.2
1733053635.8905146,+5.68900000E-08,19.2
1733053641.1755688,+5.48400000E-08,19.2
1733053646.4610212,+5.31500000E-08,19.2
1733053651.7463508,+5.39500000E-08,19.21
1733053657.031351,+5.27900000E-08,19.22
1733053662.3163803,+5.47400000E-08,19.21
1733053667.601768,+5.46300000E-08,19.21
1733053672.8871083,+5.37300000E-08,19.21
1733053678.1724906,+5.34300000E-08,19.22
1733053683.4582028,+5.38700000E-08,19.22
1733053688.7437842,+5.17500000E-08,19.21
1733053694.0292373,+5.29600000E-08,19.21
1733053699.3145597,+5.09000000E-08,19.21
1733053704.6005132,+5.08800000E-08,19.22
1733053709.885839,+5.27700000E-08,19.23
1733053715.1715448,+5.38900000E-08,19.23
1733053720.4569979,+5.45000000E-08,19.23
1733053725.7425773,+5.50700000E-08,19.23
1733053731.0280342,+5.51400000E-08,19.23
1733053736.3133585,+5.40600000E-08,19.23
1733053741.5990615,+5.30700000E-08,19.23
1733053746.8846397,+5.31700000E-08,19.23
1733053752.1702452,+5.21000000E-08,19.23
1733053757.4559245,+5.58100000E-08,19.23
1733053762.7418847,+5.34500000E-08,19.23
1733053768.0272012,+5.36200000E-08,19.23
1733053773.31291,+5.45800000E-08,19.23
1733053778.5983431,+5.59800000E-08,19.24
1733053783.8840485,+5.24200000E-08,19.24
1733053789.1697948,+5.26900000E-08,19.24
1733053794.4557068,+5.29500000E-08,19.25
1733053799.7410698,+5.42100000E-08,19.25
1733053805.0261166,+5.55400000E-08,19.25
1733053810.3111973,+5.34900000E-08,19.24
1733053815.5965264,+5.30100000E-08,19.25
1733053820.881639,+5.42400000E-08,19.25
1733053826.1668298,+5.47900000E-08,19.25
1733053831.4517531,+5.48200000E-08,19.25
1733053836.7372372,+5.37600000E-08,19.26
1733053842.0225646,+5.09100000E-08,19.26
1733053847.3080184,+5.38700000E-08,19.26
1733053852.593224,+5.47800000E-08,19.26
1733053857.8786898,+5.42700000E-08,19.26
1733053863.1639838,+5.40200000E-08,19.26
1733053868.4494355,+5.48300000E-08,19.27
1733053873.7351692,+5.51200000E-08,19.27
1733053879.0205057,+5.47000000E-08,19.27
1733053884.306176,+5.33100000E-08,19.27
1733053889.592007,+5.18500000E-08,19.27
1733053894.8775194,+5.59700000E-08,19.27
1733053900.1632922,+5.18000000E-08,19.27
1733053905.448745,+5.56700000E-08,19.27
1733053910.7343204,+5.28700000E-08,19.27
1733053916.0199263,+5.67600000E-08,19.28
1733053921.3056479,+5.39900000E-08,19.28
1733053926.5910566,+5.41900000E-08,19.29
1733053931.8770146,+5.37200000E-08,19.29
1733053937.162466,+5.52400000E-08,19.29
1733053942.448175,+5.39600000E-08,19.29
1733053947.733528,+5.47300000E-08,19.29
1733053953.0192306,+5.49100000E-08,19.3
1733053958.3045695,+5.44500000E-08,19.29
1733053963.5901396,+5.50700000E-08,19.29
1733053968.8754416,+5.57100000E-08,19.3
1733053974.1611726,+5.46400000E-08,19.3
1733053979.4467313,+5.40700000E-08,19.3
1733053984.7325845,+5.34300000E-08,19.3
1733053990.0183878,+5.19100000E-08,19.3
1733053995.3041162,+5.14100000E-08,19.3
1733054000.589444,+5.38000000E-08,19.31
1733054005.875025,+5.25000000E-08,19.31
1733054011.160726,+5.51700000E-08,19.3
1733054016.4463065,+5.44200000E-08,19.31
1733054021.7318904,+5.42400000E-08,19.31
1733054027.017725,+5.20900000E-08,19.31
1733054032.303422,+5.38100000E-08,19.33
1733054037.5893784,+5.41000000E-08,19.32
1733054042.8752077,+5.38800000E-08,19.33
1733054048.16091,+5.37900000E-08,19.32
1733054053.4467466,+5.50000000E-08,19.33
1733054058.7325716,+5.49100000E-08,19.33
1733054064.0185254,+5.27300000E-08,19.33
1733054069.304356,+5.46400000E-08,19.33
1733054074.5900614,+5.69500000E-08,19.34
1733054079.8761432,+5.44000000E-08,19.34
1733054085.1618433,+5.38100000E-08,19.34
1733054090.4481752,+5.21000000E-08,19.34
1733054095.7339044,+5.28200000E-08,19.34
1733054101.019464,+5.36600000E-08,19.34
1733054106.304784,+5.60600000E-08,19.34
1733054111.5900943,+5.47600000E-08,19.34
1733054116.875201,+5.20900000E-08,19.34
1733054122.1603441,+5.22800000E-08,19.34
1733054127.4459884,+5.49200000E-08,19.34
1733054132.7314425,+5.26000000E-08,19.34
1733054138.0170197,+5.23600000E-08,19.34
