time,34420a_volt
1731185096.1526864,8.73e-09
1731185096.6895978,7.82e-09
1731185097.22636,1.47e-09
1731185097.7631817,7.36e-09
1731185098.2999766,2.16e-09
1731185098.8367698,3.06e-09
1731185099.373625,6.57e-09
1731185099.9104075,2.03e-09
1731185100.4472778,5.79e-09
1731185100.9840477,-1.01e-09
1731185101.5208418,4.88e-09
1731185102.0577486,8.96e-09
1731185102.594485,9e-10
1731185103.1312213,1.055e-08
1731185103.6681113,9.87e-09
1731185104.204815,2.94e-09
1731185104.7417948,2.37e-09
1731185105.2787254,7.36e-09
1731185105.8156567,9.53e-09
1731185106.352475,-1.81e-09
1731185106.889153,6.46e-09
1731185107.4259303,4.5e-10
1731185107.962742,8.51e-09
1731185108.4995065,-1.59e-09
1731185109.0362697,1.58e-09
1731185109.5734537,1.055e-08
1731185110.1105912,3.52e-09
1731185110.6474466,-1.36e-09
1731185111.1844108,9.87e-09
1731185111.7212813,5.44e-09
1731185112.2580261,3.06e-09
1731185112.7947052,7.02e-09
1731185113.3314579,8.27e-09
1731185113.8682146,6.13e-09
1731185114.4050617,4.53e-09
1731185114.9419296,-3.17e-09
1731185115.4787555,-3.28e-09
1731185116.0155158,-4.42e-09
1731185116.5522332,-4.31e-09
1731185117.0890226,7.93e-09
1731185117.6257808,-4.53e-09
1731185118.162461,1.156e-08
1731185118.699227,1.009e-08
1731185119.236012,4.5e-10
1731185119.772875,1.01e-09
1731185120.3096967,3.73e-09
1731185120.8464847,-4.42e-09
1731185121.3831882,1.12e-09
1731185121.919969,2.37e-09
1731185122.456791,1.19e-08
1731185122.9936674,-2.61e-09
1731185123.530375,-4.64e-09
1731185124.0671442,4.43e-09
1731185124.6039658,-4.31e-09
1731185125.1406922,6.24e-09
1731185125.6774666,2.03e-09
1731185126.214172,4.08e-09
1731185126.7509975,-3.06e-09
1731185127.2876413,3.97e-09
1731185127.8243337,2.83e-09
1731185128.3612828,-4.5e-10
1731185128.8979917,6.57e-09
1731185129.4348252,9.42e-09
1731185129.971707,1.01e-09
1731185130.5085042,1.135e-08
1731185131.0453784,8.51e-09
1731185131.5820966,7.36e-09
1731185132.1188016,9.29e-09
1731185132.6552768,0.0
1731185133.1919808,2.61e-09
1731185133.7287998,3.63e-09
1731185134.2656283,5.9e-09
1731185134.8024788,1.009e-08
1731185135.3393033,1.112e-08
1731185135.8759978,6.46e-09
1731185136.4127183,-3.73e-09
1731185136.9495106,1.47e-09
1731185137.486212,-3.06e-09
1731185138.0231946,-8.05e-09
1731185138.5601134,4.77e-09
1731185139.0968173,7.36e-09
1731185139.63366,-6.8e-10
1731185140.170357,-1.59e-09
1731185140.707117,6.69e-09
1731185141.243997,3.06e-09
1731185141.7808044,8.4e-09
1731185142.3175063,-3.28e-09
1731185142.8543024,5.66e-09
1731185143.3910868,2.94e-09
1731185143.927693,7.15e-09
1731185144.4644217,-1.25e-09
1731185145.0012856,5.33e-09
1731185145.5381248,7.02e-09
1731185146.0748773,-2.84e-09
1731185146.6115818,8.51e-09
1731185147.1483295,5.1e-09
1731185147.6851091,4.3e-09
1731185148.2220395,1.19e-08
1731185148.758807,-4.99e-09
1731185149.2957213,-4.88e-09
1731185149.832617,-1.46e-09
1731185150.3694093,7.48e-09
1731185150.9061656,-4.88e-09
1731185151.442915,3.39e-09
1731185151.9798057,2.37e-09
1731185152.516688,3.97e-09
1731185153.053657,1.58e-09
1731185153.5905423,3.39e-09
1731185154.1273375,2.16e-09
1731185154.6641576,-6e-09
1731185155.2009866,6.46e-09
1731185155.7382116,2.16e-09
1731185156.2753885,1.58e-09
1731185156.812544,-1e-10
1731185157.349677,-1.46e-09
1731185157.8868642,4.88e-09
1731185158.4240394,-6e-09
1731185158.9612467,2.83e-09
1731185159.4980679,8.51e-09
1731185160.0346906,0.0
1731185160.5715816,1.92e-09
1731185161.1084597,1.81e-09
1731185161.6453996,1.7e-09
1731185162.1823463,4.64e-09
1731185162.7192392,2.37e-09
1731185163.2561278,2.61e-09
1731185163.7930598,2.49e-09
1731185164.3303514,1.12e-09
1731185164.867234,7.8e-10
1731185165.4040732,1.01e-09
1731185165.94091,1.18e-08
