time,34420a_volt
1731243664.1064503,0.0
1731243669.3810282,3.73e-09
1731243674.6554527,-1.04e-09
1731243679.9299526,-1.98e-09
1731243685.204264,-3e-10
1731243690.4787302,1.87e-09
1731243695.752931,-6.4e-10
1731243701.0272,1.76e-09
1731243706.3014498,2.32e-09
1731243711.5756633,-7.9e-10
1731243716.8499408,1e-10
1731243722.124029,-6.3e-10
1731243727.3982308,6.3e-10
1731243732.6725302,-4.6e-10
1731243737.9465973,-4.4e-10
1731243743.2207074,8.7e-10
1731243748.4947126,4e-10
1731243753.7690334,1.17e-09
1731243759.0432656,-1.26e-09
1731243764.3175066,6.6e-10
1731243769.5914896,3.5e-10
1731243774.8658364,4.21e-09
1731243780.1400607,2.1e-10
1731243785.4141822,3e-09
1731243790.688522,2.3e-09
1731243795.9627326,7.1e-10
1731243801.2369423,2.7e-10
1731243806.511198,4.3e-10
1731243811.7853832,-1.98e-09
1731243817.0596406,1.55e-09
1731243822.3338885,-1.75e-09
1731243827.6078846,-1.4e-09
1731243832.8820288,3.68e-09
1731243838.1561775,1.05e-09
1731243843.4304252,-3.32e-09
1731243848.7046638,6.4e-10
1731243853.9788318,-1.3e-10
1731243859.2532961,-2.9e-10
1731243864.527591,1.14e-09
1731243869.8018763,-2.25e-09
1731243875.0760558,2.16e-09
1731243880.3503494,2.83e-09
1731243885.6244988,-1.44e-09
1731243890.8988705,3.15e-09
1731243896.1730516,-1.97e-09
1731243901.4474568,-6.5e-10
1731243906.721696,1.8e-10
1731243911.9959059,1.29e-09
1731243917.2702632,1.57e-09
1731243922.5444417,-8.1e-10
1731243927.8188624,6.6e-10
1731243933.093112,-9.1e-10
1731243938.3675241,-3.23e-09
1731243943.6417997,-8.1e-10
1731243948.9160826,1.34e-09
1731243954.1905918,1.85e-09
1731243959.465148,1.32e-09
1731243964.7394826,-1.03e-09
1731243970.0137632,8.3e-10
1731243975.2879987,7.5e-10
1731243980.5620487,2.96e-09
1731243985.8360634,-1.11e-09
1731243991.1100469,-2.29e-09
1731243996.3840187,3.3e-10
1731244001.658108,1.4e-09
1731244006.9321198,-1.24e-09
1731244012.2061799,-1.81e-09
1731244017.4801364,-2e-10
1731244022.7541919,1.96e-09
1731244028.0282974,-1.44e-09
1731244033.3023477,2.6e-10
1731244038.576498,-4e-09
1731244043.8507123,6.1e-10
1731244049.1247773,1.59e-09
1731244054.3988278,-6.8e-10
1731244059.6728418,5.7e-10
1731244064.9468558,-2.9e-10
1731244070.2209268,-5e-10
1731244075.4950764,-1.11e-09
1731244080.7690444,1.39e-09
1731244086.0432563,1.17e-09
1731244091.317329,2.17e-09
1731244096.5915375,-1.64e-09
1731244101.8655007,6.6e-10
1731244107.139601,-5e-11
1731244112.413812,1.26e-09
1731244117.687949,-3.6e-10
1731244122.962398,-1.3e-09
1731244128.2363296,-1.5e-10
1731244133.5105302,2.9e-10
1731244138.784536,-4.7e-10
1731244144.0586243,2.2e-10
1731244149.3329167,-3e-11
1731244154.6070154,-1.87e-09
1731244159.880878,-8.6e-10
1731244165.154881,-4e-10
1731244170.4288054,9.7e-10
1731244175.7028732,-8e-10
1731244180.9769578,-7.9e-10
1731244186.2511063,1.33e-09
1731244191.5250266,1.3e-09
1731244196.799071,-2.23e-09
1731244202.0731275,-3.43e-09
1731244207.347132,-1.29e-09
1731244212.6212692,-9e-10
1731244217.8955698,-1.81e-09
1731244223.1695702,-5.1e-10
1731244228.443604,1e-11
1731244233.7177544,-1.29e-09
1731244238.9916594,-2.5e-09
1731244244.2656848,-1.3e-10
1731244249.5395296,-1.1e-10
1731244254.8135269,-2.15e-09
1731244260.0876715,1.78e-09
1731244265.3619516,7.7e-10
1731244270.6362038,1.4e-10
1731244275.9103835,-2.04e-09
1731244281.1846452,1.4e-10
1731244286.4587727,-4.8e-10
1731244291.7327988,8.6e-10
1731244297.0068843,-2.63e-09
1731244302.2809165,-2.47e-09
